ID,sex,age_years,right_handedness,years_in_education,highest_education_level,current_education_level,digit_span_forward,digit_span_backward,grammatical_sensitivity,nback_1_back_dprime,nback_2_back_dprime,nback_3_back_dprime,one_minute_reading,predictive_sent_proc_RT,predictive_sent_proc_accuracy,perceptual_speed_visual_RT,perceptual_speed_auditory_RT,perceptual_speed_visual_decision,SEGM_RT_training,SEGM_RT_TRN3_RND4,SEGM_RT_RND4_REC5,SEGM_ACC_training,SEGM_ACC_TRN3_RND4,SEGM_ACC_RND4_REC5,SEGM_2AFC_bigram,SEGM_2AFC_trigram,SEGM_production,AGL_ACC_training,AGL_2AFC_phrase,AGL_2AFC_sentence,AGL_production,selfpaced_gardenpath_target,selfpaced_violation_processing_target,simon_RT,simon_accuracy,stroop_RT,stroop_accuracy,pragmatic_comprehension
5036,male,18.10833333,1,11,primary,secondary,8,5,0.769230769,5.546442359,0.777747616,0,456,0.649916,0.090909091,0.3202225,0.3767325,1.06224,0.1645025,0.3509075,0.2425275,-0.6875,-0.6875,-0.25,0.611111111,0.444444444,0.833333333,0.166666667,0.409090909,0.5,0.375,-0.14883625,0.007914375,-0.004175,0,0.28221,0.05,0.722222222
5037,female,42.12222222,1,17,MA_MSc,NA,7,4,0.769230769,5.546442359,1.162094736,-0.524400513,NA,0.256704,0,0.3353875,0.28923,0.82548,0.0426175,0.0273725,-0.0043975,0,0,0,0.5,0.666666667,0.666666667,0.119047619,0.5,0.6875,0.458333333,0.084652222,0.391755714,0.029905,0,0.094885,0,0.666666667
5047,male,39.45,1,14,secondary,NA,7,5,1,8.529781588,1.198890263,1.281551566,402,1.005188,0.045454545,0.300165,0.21719,0.934015,-0.0151875,0.01816,-0.01343,0.125,0.0625,0,0.611111111,0.722222222,0.833333333,0.452380952,0.409090909,0.875,0.625,0.25564,0.033186429,-0.014815,0.025,0.23705,0.05,0.833333333
5048,male,49.9,1,19,MA_MSc,NA,6,3,0.846153846,-0.524400513,-1.198890263,-4.518237897,508,0.8064155,-0.043478261,0.286,0.319,0.893,0.082,0.177,0.094,0,0,-0.125,0.611111111,0.611111111,0.833333333,-0.071428571,0.590909091,0.75,0.333333333,0.02725,0.133875,0.036,0.125,0.2255,0.016666667,0.722222222
5050,male,23.43611111,1,17,BA_BSc,MA_MSc,7,5,0.615384615,-2.983339228,0,-0.58827413,339,0.074424,0.045454545,0.29254,0.2739075,1.363885,0.03487,0.100665,0.109295,-0.125,0.25,0.25,0.444444444,0.555555556,0.916666667,0.261904762,0.409090909,0.625,0.416666667,-0.0767525,0.022719286000000002,0.02698,0.075,0.50964,0.166666667,0.888888889
5051,female,49.00277778,1,22,MA_MSc,NA,6,5,0.769230769,5.546442359,0.607061815,-1.281551566,198,0.662261,0.092885375,0.31739,0.27026,0.975895,-0.1264775,0.077275,0.215415,-0.375,-0.375,0.0625,0.444444444,0.666666667,0.666666667,NA,NA,NA,NA,0.405250714,0.600251429,NA,NA,0.317675,0.116666667,0.722222222
5052,male,28.92222222,1,18,MA_MSc,NA,7,4,0.846153846,8.529781588,0.58827413,0,294,0.434807,0.090909091,0.289795,0.2601675,1.081975,-0.0912975,-0.006095,0.0494375,-0.0625,0,0,0.444444444,0.555555556,0.833333333,0.071428571,0.590909091,0.5,0.041666667,-0.199585,0.161889375,NA,NA,0.23335,-0.016666667,0.5
5057,male,58.42777778,1,38,PhD,NA,8,7,1,-4.264890794,-4.939380544,-4.518237897,340,1.2555345,0.045454545,0.314,0.301,1.21,-0.033,0.0525,0.0485,0,0.1875,0.1875,0.555555556,0.333333333,0.666666667,0.071428571,0.409090909,0.8125,0.458333333,-0.171333333,0.22875,0.1,0.025,0.295,0.016666667,0.888888889
5059,female,58.525,1,20,PhD,NA,NA,NA,0.846153846,NA,NA,NA,192,0.429611,0.045454545,0.3325,0.288,1.063,0.102,0.2525,0.1385,-0.3125,-0.25,0.125,0.333333333,0.611111111,0.333333333,0.142857143,0.636363636,0.625,0.625,-0.061222222,0.141571429,0.0125,0.025,-0.013,0,0.388888889
5060,male,30.46666667,1,17,MA_MSc,NA,8,6,0.615384615,1.805952078,0.336108695,NA,NA,0.756618,0.001976285,0.305755,0.32326,0.76578,0.142835,0.51028,0.520015,0.0625,0.0625,0.0625,0.611111111,0.722222222,0.666666667,0.142857143,0.545454545,0.875,0.416666667,0.373154444,0.205906667,0.026245,0.05,0.18846,0.083333333,0.777777778
