ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
6228,right,right,left,left,,,right,left,,right,right,right,left,,right,right,right,right,right,right,right,right,right,left,left,right,right,,left,right
6231,left,right,left,left,,left,left,left,left,left,left,left,left,left,left,left,,right,right,right,right,right,,left,left,right,right,,left,left
6232,right,right,,left,left,right,right,left,,left,right,right,left,,,right,right,right,right,right,right,right,right,left,right,right,right,right,left,right
6242,right,right,left,left,left,,left,,,left,left,right,left,left,left,,,right,right,right,right,,right,left,right,right,right,right,left,left
6243,right,right,right,left,left,,right,left,left,left,left,left,left,left,left,,,right,right,right,right,,right,right,right,,,right,left,left
6246,right,left,right,right,,right,right,right,right,right,right,right,right,right,right,right,,right,right,right,right,right,right,right,right,right,right,right,left,right
6247,right,right,left,left,left,left,right,left,left,left,right,right,left,,,right,right,right,right,right,right,right,right,left,right,right,right,right,right,left
6249,left,right,,left,left,right,right,left,,left,left,left,left,left,,right,,right,right,right,right,right,right,left,right,,right,right,right,right
6251,right,right,right,left,,right,right,,left,left,left,right,left,,right,right,right,right,right,right,right,right,right,left,right,right,right,right,right,right
6253,right,right,right,left,,left,right,right,right,left,left,left,right,left,right,right,,right,right,right,left,right,right,left,right,right,right,,right,left
6254,right,left,,left,left,left,right,,left,left,left,left,left,left,left,,,right,right,right,right,,right,left,right,,right,right,left,right
6255,left,right,,left,left,right,right,,,left,right,left,left,,,right,,right,right,right,right,right,right,right,left,,right,right,left,right
6257,right,right,left,left,left,left,right,,,left,left,right,left,left,left,,right,right,right,left,right,,right,left,left,,right,right,right,right
6258,right,right,,left,,left,right,left,left,left,left,left,left,left,,right,right,right,right,right,right,right,right,right,right,,right,right,left,left
6260,right,right,left,left,,right,right,,,left,left,left,left,left,,right,,right,right,right,right,right,right,left,right,right,right,right,left,right
6261,right,right,,left,,right,right,,left,left,left,left,left,,,right,,right,right,right,right,right,right,left,left,right,right,right,right,right
7003,right,right,,left,,right,right,,,left,right,left,left,left,left,,,right,right,,right,,right,left,left,right,right,right,right,right
7006,left,right,,right,,left,right,,right,right,left,left,left,left,left,,left,right,right,left,right,,right,left,left,right,left,right,,right
7009,right,right,left,left,,left,right,,left,left,left,left,left,left,left,,,right,left,left,right,right,right,left,left,left,right,right,right,right
7015,right,right,left,left,left,left,right,,,left,left,left,left,left,left,right,,right,right,left,right,right,right,left,left,,right,right,left,left
7018,left,left,left,left,left,right,right,left,,left,left,left,left,,left,right,,right,right,left,right,,,left,left,right,right,right,left,right
7021,left,right,right,left,left,left,right,,,left,left,left,left,left,left,,,right,right,left,right,right,right,left,left,right,right,right,right,right
7024,right,right,,left,,left,right,,left,left,right,left,left,left,left,right,right,right,right,right,right,,right,left,left,right,right,right,right,right
7027,right,left,,right,right,left,left,,right,right,right,right,right,right,right,,,left,right,right,left,left,left,left,left,,left,left,,right
7030,right,right,,left,,left,right,,left,left,left,left,left,left,left,left,,right,left,left,right,,right,right,right,left,right,right,right,left
7033,left,right,left,left,left,right,right,,,left,left,left,left,left,left,,,right,right,left,right,,right,left,left,,right,right,right,right
7036,left,right,,left,right,right,right,left,,left,left,left,left,right,,right,right,right,right,right,right,,right,,left,,right,right,right,right
7039,right,,right,right,right,right,left,,,left,right,right,right,,right,,right,left,left,right,left,,left,right,right,,left,left,left,left
7042,left,right,right,right,right,left,right,,right,right,right,left,right,right,right,right,,right,right,left,right,right,right,right,right,right,right,right,right,right
7045,left,right,left,left,,right,right,,,left,left,left,left,left,left,right,right,right,right,left,right,,right,left,left,left,right,right,right,right
7048,right,right,left,left,,left,right,,,left,left,left,left,left,left,,left,right,right,left,left,,right,left,right,,right,right,left,left
