ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17,total
3005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0.9411764705882353
3006,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.9411764705882353
3101,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0.9411764705882353
3102,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0.9411764705882353
3103,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0.8235294117647058
3201,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.8823529411764706
3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0.9411764705882353
3203,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0.7647058823529411
3204,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0.9411764705882353
3205,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0.7647058823529411
3207,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0.8823529411764706
3208,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0.7647058823529411
3209,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0.9411764705882353
3210,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0.9411764705882353
3211,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0.8235294117647058
3212,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
3213,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.9411764705882353
3301,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
3303,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0.9411764705882353
3307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.9411764705882353
3309,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0.8823529411764706
3311,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.8235294117647058
3312,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0.8823529411764706
3313,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0.9411764705882353
3316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.9411764705882353
3317,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0.9411764705882353
3318,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.8235294117647058
3319,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.9411764705882353
3321,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0.7647058823529411
3322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0.9411764705882353
3325,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.9411764705882353
3326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0.9411764705882353
